functionname,protocol,device,subdevice,function
KEY_5,NEC,132,60,0
KEY_4,NEC,132,60,1
KEY_1,NEC,132,60,2
KEY_6,NEC,132,60,3
KEY_POWER,NEC,132,60,4
KEY_2,NEC,132,60,5
TV_SAT,NEC,132,60,6
KEY_3,NEC,132,60,7
KEY_9,NEC,132,60,8
KEY_8,NEC,132,60,9
KEY_7,NEC,132,60,10
KEY_F,NEC,132,60,11
KEY_MENU,NEC,132,60,12
KEY_AGAIN,NEC,132,60,13
KEY_0,NEC,132,60,14
CHAN_RIGHT,NEC,132,60,15
KEY_FAVORITES,NEC,132,60,16
KEY_I,NEC,132,60,17
CHAN_LEFT,NEC,132,60,18
KEY_RADIO,NEC,132,60,19
KEY_MUTE,NEC,132,60,20
NORM,NEC,132,60,21
STORE,NEC,132,60,22
KEY_VOLUMEUP,NEC,132,60,24
LEVEL,NEC,132,60,25
SHAPE,NEC,132,60,26
KEY_VOLUMEDOWN,NEC,132,60,28
EFFECT,NEC,132,60,29
DOLBY,NEC,132,60,30
