functionname,protocol,device,subdevice,function
KEY_STOP,NEC,110,-1,1
FRWD,NEC,110,-1,2
KEY_FASTFORWARD,NEC,110,-1,3
KEY_0,NEC,110,-1,4
KEY_1,NEC,110,-1,5
KEY_2,NEC,110,-1,6
KEY_3,NEC,110,-1,7
KEY_PLAY,NEC,110,-1,8
KEY_RECORD,NEC,110,-1,9
KEY_PAUSE,NEC,110,-1,11
KEY_4,NEC,110,-1,12
KEY_5,NEC,110,-1,13
KEY_6,NEC,110,-1,14
KEY_7,NEC,110,-1,15
KEY_POWER,NEC,110,-1,20
KEY_MENU,NEC,110,-1,22
KEY_8,NEC,110,-1,28
KEY_9,NEC,110,-1,29
KEY_BACK,NEC,110,-1,76
KEY_UP,NEC,110,-1,130
KEY_LEFT,NEC,110,-1,131
KEY_DOWN,NEC,110,-1,137
KEY_OK,NEC,110,-1,142
KEY_RIGHT,NEC,110,-1,144
