functionname,protocol,device,subdevice,function
0,NECx,11,11,0
1,NECx,11,11,1
2,NECx,11,11,2
3,NECx,11,11,3
4,NECx,11,11,4
5,NECx,11,11,5
6,NECx,11,11,6
7,NECx,11,11,7
8,NECx,11,11,8
9,NECx,11,11,9
SLEEP,NECx,11,11,10
TEXT,NECx,11,11,11
CYCLEWINDOWS,NECx,11,11,12
10CHANNELSUP,NECx,11,11,13
VOLUME+,NECx,11,11,14
VOLUME-,NECx,11,11,15
PICTURE,NECx,11,11,16
MENU,NECx,11,11,17
INDEX,NECx,11,11,17
EXP,NECx,11,11,19
MUTE,NECx,11,11,20
SLEEP,NECx,11,11,21
CHANNEL+,NECx,11,11,22
CHANNEL-,NECx,11,11,23
NORM,NECx,11,11,24
STOP,NECx,11,11,24
SUBTITLE,NECx,11,11,25
MIX,NECx,11,11,26
REV,NECx,11,11,27
RED,NECx,11,11,28
GREEN,NECx,11,11,29
YELLOW,NECx,11,11,30
BLUE,NECx,11,11,31
